treatment,tree_id,deploy,metabolite,hfa,site_num,tree_num,decomp_day,well_id,time,od_corrected
P,HOK,HOK ,SEK,A,2,5,3,1A,30,0.5225
AB,HOK,HOK ,SEK,A,2,5,3,1B,30,0.3415
P,SEK,HOK ,SEK,H,2,5,3,1C,30,1.4155
AB,SEK,HOK ,SEK,H,2,5,3,1D,30,0.3295
P,SEK,SEK ,SEK,H,2,5,3,1E,30,0.6415
AB,SEK,SEK ,SEK,H,2,5,3,1F,30,0.8255
P,HOK,SEK ,SEK,A,2,5,3,1G,30,0.9055
AB,HOK,SEK ,SEK,A,2,5,3,1H,30,0.4475
P,HOK,HOK ,SEK,A,2,5,3,2A,30,0.3065
AB,HOK,HOK ,SEK,A,2,5,3,2B,30,0.4575
P,SEK,HOK ,SEK,H,2,5,3,2C,30,0.2575
AB,SEK,HOK ,SEK,H,2,5,3,2D,30,1.3465
P,SEK,SEK ,SEK,H,2,5,3,2E,30,0.3115
AB,SEK,SEK ,SEK,H,2,5,3,2F,30,0.4775
P,HOK,SEK ,SEK,A,2,5,3,2G,30,1.3515
AB,HOK,SEK ,SEK,A,2,5,3,2H,30,1.0385
P,HOK,HOK ,SEK,A,2,5,3,3A,30,0.2455
AB,HOK,HOK ,SEK,A,2,5,3,3B,30,0.2895
P,SEK,HOK ,SEK,H,2,5,3,3C,30,0.3375
AB,SEK,HOK ,SEK,H,2,5,3,3D,30,0.6625
P,SEK,SEK ,SEK,H,2,5,3,3E,30,0.6935
AB,SEK,SEK ,SEK,H,2,5,3,3F,30,1.3325
P,HOK,SEK ,SEK,A,2,5,3,3G,30,1.6415
AB,HOK,SEK ,SEK,A,2,5,3,3H,30,0.9155
P,HOK,HOK ,SEK,A,2,4,3,4A,30,0.3245
AB,HOK,HOK ,SEK,A,2,4,3,4B,30,0.5755
P,SEK,HOK ,SEK,H,2,4,3,4C,30,1.1615
AB,SEK,HOK ,SEK,H,2,4,3,4D,30,1.8835
P,SEK,SEK ,SEK,H,2,4,3,4E,30,1.3015
AB,SEK,SEK ,SEK,H,2,4,3,4F,30,0.4385
P,HOK,SEK ,SEK,A,2,4,3,4G,30,1.2315
AB,HOK,SEK ,SEK,A,2,4,3,4H,30,0.8325
P,HOK,HOK ,SEK,A,2,4,3,5A,30,0.4425
AB,HOK,HOK ,SEK,A,2,4,3,5B,30,1.4505
P,SEK,HOK ,SEK,H,2,4,3,5C,30,0.9355
AB,SEK,HOK ,SEK,H,2,4,3,5D,30,1.4645
P,SEK,SEK ,SEK,H,2,4,3,5E,30,1.7575
AB,SEK,SEK ,SEK,H,2,4,3,5F,30,1.1295
P,HOK,SEK ,SEK,A,2,4,3,5G,30,1.3515
AB,HOK,SEK ,SEK,A,2,4,3,5H,30,0.9425
P,HOK,HOK ,HOK,H,2,4,3,6A,30,0.9545
AB,HOK,HOK ,HOK,H,2,4,3,6B,30,0.4425
P,SEK,HOK ,HOK,A,2,4,3,6C,30,1.8015
AB,SEK,HOK ,HOK,A,2,4,3,6D,30,1.1615
P,SEK,SEK ,HOK,A,2,4,3,6E,30,0.5775
AB,SEK,SEK ,HOK,A,2,4,3,6F,30,1.3955
P,HOK,SEK ,HOK,H,2,4,3,6G,30,0.7855
AB,HOK,SEK ,HOK,H,2,4,3,6H,30,1.3135
P,HOK,HOK ,HOK,H,2,3,3,7A,30,0.4295
AB,HOK,HOK ,HOK,H,2,3,3,7B,30,0.6505
P,SEK,HOK ,HOK,A,2,3,3,7C,30,0.1845
AB,SEK,HOK ,HOK,A,2,3,3,7D,30,1.2795
P,SEK,SEK ,HOK,A,2,3,3,7E,30,0.2635
AB,SEK,SEK ,HOK,A,2,3,3,7F,30,1.2255
P,HOK,SEK ,HOK,H,2,3,3,7G,30,0.6535
AB,HOK,SEK ,HOK,H,2,3,3,7H,30,0.2615
P,HOK,HOK ,HOK,H,2,3,3,8A,30,0.3325
AB,HOK,HOK ,HOK,H,2,3,3,8B,30,0.2685
P,SEK,HOK ,HOK,A,2,3,3,8C,30,1.1395
AB,SEK,HOK ,HOK,A,2,3,3,8D,30,1.3135
P,SEK,SEK ,HOK,A,2,3,3,8E,30,0.3335
AB,SEK,SEK ,HOK,A,2,3,3,8F,30,0.3155
P,HOK,SEK ,HOK,H,2,3,3,8G,30,1.2285
AB,HOK,SEK ,HOK,H,2,3,3,8H,30,0.3985
P,HOK,HOK ,HOK,H,2,3,3,9A,30,0.3425
AB,HOK,HOK ,HOK,H,2,3,3,9B,30,0.3345
P,SEK,HOK ,HOK,A,2,3,3,9C,30,1.0435
AB,SEK,HOK ,HOK,A,2,3,3,9D,30,0.4465
P,SEK,SEK ,HOK,A,2,3,3,9E,30,1.6465
AB,SEK,SEK ,HOK,A,2,3,3,9F,30,0.6585
P,HOK,SEK ,HOK,H,2,3,3,9G,30,0.6045
AB,HOK,SEK ,HOK,H,2,3,3,9H,30,0.4955
P,HOK,HOK ,HOK,H,2,2,3,10A,30,0.7415
AB,HOK,HOK ,HOK,H,2,2,3,10B,30,0.4805
P,SEK,HOK ,HOK,A,2,2,3,10C,30,1.4205
AB,SEK,HOK ,HOK,A,2,2,3,10D,30,1.5325
P,SEK,SEK ,HOK,A,2,2,3,10E,30,1.4065
AB,SEK,SEK ,HOK,A,2,2,3,10F,30,1.2905
P,HOK,SEK ,HOK,H,2,2,3,10G,30,1.2015
AB,HOK,SEK ,HOK,H,2,2,3,10H,30,2.0065
P,HOK,HOK ,SEK,A,1,5,3,1A,30,0.2275
AB,HOK,HOK ,SEK,A,1,5,3,1B,30,0.3125
P,SEK,HOK ,SEK,H,1,5,3,1C,30,0.2065
AB,SEK,HOK ,SEK,H,1,5,3,1D,30,0.2415
P,SEK,SEK ,SEK,H,1,5,3,1E,30,0.9285
AB,SEK,SEK ,SEK,H,1,5,3,1F,30,0.2465
P,HOK,SEK ,SEK,A,1,5,3,1G,30,1.2655
AB,HOK,SEK ,SEK,A,1,5,3,1H,30,0.4595
P,HOK,HOK ,SEK,A,1,5,3,2A,30,1.3775
AB,HOK,HOK ,SEK,A,1,1,3,2B,30,1.4115
P,SEK,HOK ,SEK,H,1,1,3,2C,30,1.2305
AB,SEK,HOK ,SEK,H,1,1,3,2D,30,0.2945
P,SEK,SEK ,SEK,H,1,1,3,2E,30,0.4525
AB,SEK,SEK ,SEK,H,1,1,3,2F,30,1.1485
P,HOK,SEK ,SEK,A,1,1,3,2G,30,1.1655
AB,HOK,SEK ,SEK,A,1,1,3,2H,30,2.3125
P,HOK,HOK ,SEK,A,1,1,3,3A,30,0.2275
AB,HOK,HOK ,SEK,A,1,1,3,3B,30,0.3895
P,SEK,HOK ,SEK,H,1,1,3,3C,30,1.4035
AB,SEK,HOK ,SEK,H,1,1,3,3D,30,1.3175
P,SEK,SEK ,SEK,H,1,1,3,3E,30,0.8235
AB,SEK,SEK ,SEK,H,1,1,3,3F,30,0.7965
P,HOK,SEK ,SEK,A,1,1,3,3G,30,1.0055
AB,HOK,SEK ,SEK,A,1,1,3,3H,30,0.9325
P,HOK,HOK ,SEK,A,1,1,3,4A,30,0.4895
AB,HOK,HOK ,SEK,A,1,1,3,4B,30,0.5925
P,SEK,HOK ,SEK,H,1,1,3,4C,30,0.3885
AB,SEK,HOK ,SEK,H,1,1,3,4D,30,0.3105
P,SEK,SEK ,SEK,H,1,1,3,4E,30,0.7175
AB,SEK,SEK ,SEK,H,1,1,3,4F,30,0.7765
P,HOK,SEK ,SEK,A,1,1,3,4G,30,1.9415
AB,HOK,SEK ,SEK,A,1,1,3,4H,30,1.4605
P,HOK,HOK ,SEK,A,1,1,3,5A,30,0.3875
AB,HOK,HOK ,SEK,A,1,1,3,5B,30,0.5475
P,SEK,HOK ,SEK,H,1,1,3,5C,30,0.3585
AB,SEK,HOK ,SEK,H,1,1,3,5D,30,0.4105
P,SEK,SEK ,SEK,H,1,1,3,5E,30,1.4925
AB,SEK,SEK ,SEK,H,1,1,3,5F,30,0.3315
P,HOK,SEK ,SEK,A,1,1,3,5G,30,0.5565
AB,HOK,SEK ,SEK,A,1,1,3,5H,30,0.5525
P,HOK,HOK ,HOK,H,1,5,3,6A,30,1.3845
AB,HOK,HOK ,HOK,H,1,5,3,6B,30,0.5115
P,SEK,HOK ,HOK,A,1,5,3,6C,30,0.4035
AB,SEK,HOK ,HOK,A,1,5,3,6D,30,0.7915
P,SEK,SEK ,HOK,A,1,5,3,6E,30,0.4855
AB,SEK,SEK ,HOK,A,1,5,3,6F,30,0.3985
P,HOK,SEK ,HOK,H,1,5,3,6G,30,0.7475
