treatment,tree_id,deploy,metabolite,site_num,tree_num,decomp_day,well_id,time,od_raw,od_corrected_b,od_corrected_b_n,nm
P,HOK,HOK,SEK,2,5,17,1A,30,1.077,0.7013431013,0.6205942206,590
AB,HOK,HOK,SEK,2,5,17,1B,30,1.642,1.069271469,0.9885225885,590
P,SEK,HOK,SEK,2,5,17,1C,30,1.814,1.181277981,1.100529101,590
AB,SEK,HOK,SEK,2,5,17,1D,30,0.422,0.2748066748,0.1940577941,590
P,SEK,SEK,SEK,2,5,17,1E,30,2.163,1.408547009,1.327798128,590
AB,SEK,SEK,SEK,2,5,17,1F,30,0.872,0.5678469678,0.4870980871,590
P,HOK,SEK,SEK,2,5,17,1G,30,1.787,1.163695564,1.082946683,590
AB,HOK,SEK,SEK,2,5,17,1H,30,1.047,0.6818070818,0.6010582011,590
P,HOK,HOK,SEK,2,4,17,2A,30,1.592,1.036711437,0.955962556,590
AB,HOK,HOK,SEK,2,4,17,2B,30,1.158,0.7540903541,0.6733414733,590
P,SEK,HOK,SEK,2,4,17,2C,30,0.956,0.6225478225,0.5417989418,590
AB,SEK,HOK,SEK,2,4,17,2D,30,1.22,0.7944647945,0.7137159137,590
P,SEK,SEK,SEK,2,4,17,2E,30,1.567,1.02043142,0.9396825397,590
AB,SEK,SEK,SEK,2,4,17,2F,30,0.541,0.3522995523,0.2715506716,590
P,HOK,SEK,SEK,2,4,17,2G,30,1.347,0.8771672772,0.7964183964,590
AB,HOK,SEK,SEK,2,4,17,2H,30,0.42,0.2735042735,0.1927553928,590
P,HOK,HOK,SEK,2,3,17,3A,30,1.41,0.9181929182,0.8374440374,590
AB,HOK,HOK,SEK,2,3,17,3B,30,1.079,0.7026455026,0.6218966219,590
P,SEK,HOK,SEK,2,3,17,3C,30,1.779,1.158485958,1.077737078,590
AB,SEK,HOK,SEK,2,3,17,3D,30,1.186,0.7723239723,0.6915750916,590
P,SEK,SEK,SEK,2,3,17,3E,30,1.809,1.178021978,1.097273097,590
AB,SEK,SEK,SEK,2,3,17,3F,30,2.076,1.351892552,1.271143671,590
P,HOK,SEK,SEK,2,3,17,3G,30,2.211,1.43980464,1.359055759,590
AB,HOK,SEK,SEK,2,3,17,3H,30,1.97,1.282865283,1.202116402,590
P,HOK,HOK,SEK,2,2,17,4A,30,2.115,1.377289377,1.296540497,590
AB,HOK,HOK,SEK,2,2,17,4B,30,1.867,1.215791616,1.135042735,590
P,SEK,HOK,SEK,2,2,17,4C,30,0.812,0.5287749288,0.448026048,590
AB,SEK,HOK,SEK,2,2,17,4D,30,0.898,0.5847781848,0.504029304,590
P,SEK,SEK,SEK,2,2,17,4E,30,1.722,1.121367521,1.040618641,590
AB,SEK,SEK,SEK,2,2,17,4F,30,1.136,0.7397639398,0.659015059,590
P,HOK,SEK,SEK,2,2,17,4G,30,1.538,1.001546602,0.9207977208,590
AB,HOK,SEK,SEK,2,2,17,4H,30,1.617,1.052991453,0.9722425722,590
P,HOK,HOK,SEK,2,1,17,5A,30,0.861,0.5606837607,0.4799348799,590
AB,HOK,HOK,SEK,2,1,17,5B,30,1.605,1.045177045,0.9644281644,590
P,SEK,HOK,SEK,2,1,17,5C,30,0.547,0.3562067562,0.2754578755,590
AB,SEK,HOK,SEK,2,1,17,5D,30,1.702,1.108343508,1.027594628,590
P,SEK,SEK,SEK,2,1,17,5E,30,1.717,1.118111518,1.037362637,590
AB,SEK,SEK,SEK,2,1,17,5F,30,1.457,0.9487993488,0.8680504681,590
P,HOK,SEK,SEK,2,1,17,5G,30,1.855,1.207977208,1.127228327,590
AB,HOK,SEK,SEK,2,1,17,5H,30,2.138,1.392266992,1.311518112,590
P,HOK,HOK,HOK,2,5,17,6A,30,1.498,0.9754985755,0.8947496947,590
AB,HOK,HOK,HOK,2,5,17,6B,30,1.423,0.9266585267,0.8459096459,590
P,SEK,HOK,HOK,2,5,17,6C,30,1.716,1.117460317,1.036711437,590
AB,SEK,HOK,HOK,2,5,17,6D,30,1.482,0.9650793651,0.8843304843,590
P,SEK,SEK,HOK,2,5,17,6E,30,2.29,1.491249491,1.410500611,590
AB,SEK,SEK,HOK,2,5,17,6F,30,1.561,1.016524217,0.9357753358,590
P,HOK,SEK,HOK,2,5,17,6G,30,2.181,1.42026862,1.33951974,590
AB,HOK,SEK,HOK,2,5,17,6H,30,1.468,0.955962556,0.8752136752,590
P,HOK,HOK,HOK,2,4,17,7A,30,0.421,0.2741554742,0.1934065934,590
AB,HOK,HOK,HOK,2,4,17,7B,30,0.402,0.2617826618,0.181033781,590
P,SEK,HOK,HOK,2,4,17,7C,30,1.419,0.9240537241,0.8433048433,590
AB,SEK,HOK,HOK,2,4,17,7D,30,0.558,0.3633699634,0.2826210826,590
P,SEK,SEK,HOK,2,4,17,7E,30,0.452,0.2943426943,0.2135938136,590
AB,SEK,SEK,HOK,2,4,17,7F,30,0.684,0.4454212454,0.3646723647,590
P,HOK,SEK,HOK,2,4,17,7G,30,1.556,1.013268213,0.9325193325,590
AB,HOK,SEK,HOK,2,4,17,7H,30,1.628,1.06015466,0.9794057794,590
P,HOK,HOK,HOK,2,3,17,8A,30,1.268,0.8257224257,0.744973545,590
AB,HOK,HOK,HOK,2,3,17,8B,30,1.236,0.8048840049,0.7241351241,590
P,SEK,HOK,HOK,2,3,17,8C,30,1.745,1.136345136,1.055596256,590
AB,SEK,HOK,HOK,2,3,17,8D,30,2.114,1.376638177,1.295889296,590
P,SEK,SEK,HOK,2,3,17,8E,30,1.754,1.142205942,1.061457061,590
AB,SEK,SEK,HOK,2,3,17,8F,30,1.84,1.198209198,1.117460317,590
P,HOK,SEK,HOK,2,3,17,8G,30,0.399,0.2598290598,0.1790801791,590
AB,HOK,SEK,HOK,2,3,17,8H,30,1.554,1.011965812,0.9312169312,590
