treatment,tree_id,deploy,metabolite,site_num,tree_num,decomp_day,well_id,time,od_raw,od_corrected_b,od_corrected_b_n,nm
P,HOK,HOK,SEK,2,5,17,1A,30,1.512,0.742541437,0.656169429,450
AB,HOK,HOK,SEK,2,5,17,1B,30,2.271,1.115285451,1.028913444,450
P,SEK,HOK,SEK,2,5,17,1C,30,2.463,1.209576427,1.12320442,450
AB,SEK,HOK,SEK,2,5,17,1D,30,1.078,0.529404543,0.443032535,450
P,SEK,SEK,SEK,2,5,17,1E,30,2.615,1.28422345,1.197851443,450
AB,SEK,SEK,SEK,2,5,17,1F,30,1.362,0.668876611,0.582504604,450
P,HOK,SEK,SEK,2,5,17,1G,30,2.321,1.139840393,1.053468386,450
AB,HOK,SEK,SEK,2,5,17,1H,30,1.019,0.500429712,0.414057704,450
P,HOK,HOK,SEK,2,4,17,2A,30,2.065,1.014119091,0.927747084,450
AB,HOK,HOK,SEK,2,4,17,2B,30,1.791,0.879558011,0.793186004,450
P,SEK,HOK,SEK,2,4,17,2C,30,1.821,0.894290976,0.807918969,450
AB,SEK,HOK,SEK,2,4,17,2D,30,1.905,0.935543278,0.849171271,450
P,SEK,SEK,SEK,2,4,17,2E,30,2.28,1.119705341,1.033333333,450
AB,SEK,SEK,SEK,2,4,17,2F,30,1.262,0.619766728,0.533394721,450
P,HOK,SEK,SEK,2,4,17,2G,30,2.097,1.029834254,0.943462247,450
AB,HOK,SEK,SEK,2,4,17,2H,30,0.981,0.481767956,0.395395948,450
P,HOK,HOK,SEK,2,3,17,3A,30,1.83,0.898710866,0.812338858,450
AB,HOK,HOK,SEK,2,3,17,3B,30,1.487,0.730263966,0.643891958,450
P,SEK,HOK,SEK,2,3,17,3C,30,2.028,0.995948435,0.909576427,450
AB,SEK,HOK,SEK,2,3,17,3D,30,1.51,0.741559239,0.655187231,450
P,SEK,SEK,SEK,2,3,17,3E,30,2.124,1.043093923,0.956721915,450
AB,SEK,SEK,SEK,2,3,17,3F,30,2.387,1.172252916,1.085880909,450
P,HOK,SEK,SEK,2,3,17,3G,30,2.473,1.214487416,1.128115408,450
AB,HOK,SEK,SEK,2,3,17,3H,30,2.204,1.082381829,0.996009822,450
P,HOK,HOK,SEK,2,2,17,4A,30,2.543,1.248864334,1.162492327,450
AB,HOK,HOK,SEK,2,2,17,4B,30,2.316,1.137384899,1.051012891,450
P,SEK,HOK,SEK,2,2,17,4C,30,1.431,0.702762431,0.616390424,450
AB,SEK,HOK,SEK,2,2,17,4D,30,1.6,0.785758134,0.699386127,450
P,SEK,SEK,SEK,2,2,17,4E,30,2.189,1.075015347,0.98864334,450
AB,SEK,SEK,SEK,2,2,17,4F,30,1.428,0.701289134,0.614917127,450
P,HOK,SEK,SEK,2,2,17,4G,30,2.015,0.98956415,0.903192142,450
AB,HOK,SEK,SEK,2,2,17,4H,30,1.986,0.975322284,0.888950276,450
P,HOK,HOK,SEK,2,1,17,5A,30,1.628,0.799508901,0.713136894,450
AB,HOK,HOK,SEK,2,1,17,5B,30,1.792,0.88004911,0.793677103,450
P,SEK,HOK,SEK,2,1,17,5C,30,0.99,0.486187845,0.399815838,450
AB,SEK,HOK,SEK,2,1,17,5D,30,2.348,1.153100061,1.066728054,450
P,SEK,SEK,SEK,2,1,17,5E,30,1.942,0.953713935,0.867341928,450
AB,SEK,SEK,SEK,2,1,17,5F,30,1.905,0.935543278,0.849171271,450
