treatment,tree_id,deploy,metabolite,site_num,tree_num,decomp_day,well_id,time,od_raw,od_corrected_b,od_corrected_b_n,nm
P,HOK,HOK,SEK,2,5,3,1A,30,0.614,0.8905003626,0.7360406091,590
AB,HOK,HOK,SEK,2,5,3,1B,30,0.433,0.627991298,0.4735315446,590
P,SEK,HOK,SEK,2,5,3,1C,30,1.507,2.185641769,2.031182016,590
AB,SEK,HOK,SEK,2,5,3,1D,30,0.421,0.6105873822,0.4561276287,590
P,SEK,SEK,SEK,2,5,3,1E,30,0.733,1.063089195,0.9086294416,590
AB,SEK,SEK,SEK,2,5,3,1F,30,0.917,1.329949239,1.175489485,590
P,HOK,SEK,SEK,2,5,3,1G,30,0.997,1.445975344,1.291515591,590
AB,HOK,SEK,SEK,2,5,3,1H,30,0.539,0.7817258883,0.6272661349,590
P,HOK,HOK,SEK,2,4,3,2A,30,0.398,0.5772298767,0.4227701233,590
AB,HOK,HOK,SEK,2,4,3,2B,30,0.549,0.7962291516,0.6417693981,590
P,SEK,HOK,SEK,2,4,3,2C,30,0.349,0.5061638869,0.3517041334,590
AB,SEK,HOK,SEK,2,4,3,2D,30,1.438,2.085569253,1.9311095,590
P,SEK,SEK,SEK,2,4,3,2E,30,0.403,0.5844815083,0.4300217549,590
AB,SEK,SEK,SEK,2,4,3,2F,30,0.569,0.825235678,0.6707759246,590
P,HOK,SEK,SEK,2,4,3,2G,30,1.443,2.092820885,1.938361131,590
AB,HOK,SEK,SEK,2,4,3,2H,30,1.13,1.638868745,1.484408992,590
P,HOK,HOK,SEK,2,3,3,3A,30,0.337,0.488759971,0.3343002175,590
AB,HOK,HOK,SEK,2,3,3,3B,30,0.381,0.5525743292,0.3981145758,590
P,SEK,HOK,SEK,2,3,3,3C,30,0.429,0.6221899927,0.4677302393,590
AB,SEK,HOK,SEK,2,3,3,3D,30,0.754,1.093546048,0.9390862944,590
P,SEK,SEK,SEK,2,3,3,3E,30,0.785,1.138506164,0.9840464104,590
AB,SEK,SEK,SEK,2,3,3,3F,30,1.424,2.065264685,1.910804931,590
P,HOK,SEK,SEK,2,3,3,3G,30,1.733,2.513415518,2.358955765,590
AB,HOK,SEK,SEK,2,3,3,3H,30,1.007,1.460478608,1.306018854,590
P,HOK,HOK,SEK,2,2,3,4A,30,0.416,0.6033357505,0.4488759971,590
AB,HOK,HOK,SEK,2,2,3,4B,30,0.667,0.9673676577,0.8129079043,590
P,SEK,HOK,SEK,2,2,3,4C,30,1.253,1.817258883,1.66279913,590
AB,SEK,HOK,SEK,2,2,3,4D,30,1.975,2.864394489,2.709934735,590
P,SEK,SEK,SEK,2,2,3,4E,30,1.393,2.020304569,1.865844815,590
AB,SEK,SEK,SEK,2,2,3,4F,30,0.53,0.7686729514,0.614213198,590
P,HOK,SEK,SEK,2,2,3,4G,30,1.323,1.918781726,1.764321972,590
AB,HOK,SEK,SEK,2,2,3,4H,30,0.924,1.340101523,1.185641769,590
P,HOK,HOK,SEK,2,1,3,5A,30,0.534,0.7744742567,0.6200145033,590
AB,HOK,HOK,SEK,2,1,3,5B,30,1.542,2.236403191,2.081943437,590
P,SEK,HOK,SEK,2,1,3,5C,30,1.027,1.489485134,1.335025381,590
AB,SEK,HOK,SEK,2,1,3,5D,30,1.556,2.256707759,2.102248006,590
P,SEK,SEK,SEK,2,1,3,5E,30,1.849,2.681653372,2.527193619,590
AB,SEK,SEK,SEK,2,1,3,5F,30,1.221,1.770848441,1.616388687,590
