treatment,tree_id,deploy,metabolite,site_num,tree_num,decomp_day,well_id,time,od_raw,od_corrected_b,od_corrected_b_n,nm
P,HOK,HOK,SEK,2,5,7,1A,30,0.79,0.9659177747,0.8408986703,590
AB,HOK,HOK,SEK,2,5,7,1B,30,1.467,1.793672627,1.668653523,590
P,SEK,HOK,SEK,2,5,7,1C,30,1.748,2.137245912,2.012226807,590
AB,SEK,HOK,SEK,2,5,7,1D,30,1.508,1.843802537,1.718783433,590
P,SEK,SEK,SEK,2,5,7,1E,30,0.527,0.6443527434,0.519333639,590
AB,SEK,SEK,SEK,2,5,7,1F,30,0.453,0.5538743696,0.4288552652,590
P,HOK,SEK,SEK,2,5,7,1G,30,1.363,1.666513832,1.541494727,590
AB,HOK,SEK,SEK,2,5,7,1H,30,1.864,2.279076876,2.154057772,590
P,HOK,HOK,SEK,2,4,7,2A,30,0.394,0.4817362066,0.3567171022,590
AB,HOK,HOK,SEK,2,4,7,2B,30,0.71,0.8681033165,0.7430842121,590
P,SEK,HOK,SEK,2,4,7,2C,30,0.332,0.4059300015,0.2809108971,590
AB,SEK,HOK,SEK,2,4,7,2D,30,0.64,0.7825156656,0.6574965612,590
P,SEK,SEK,SEK,2,4,7,2E,30,0.428,0.5233073514,0.398288247,590
AB,SEK,SEK,SEK,2,4,7,2F,30,0.55,0.6724744001,0.5474552957,590
P,HOK,SEK,SEK,2,4,7,2G,30,0.391,0.4780681645,0.3530490601,590
AB,HOK,SEK,SEK,2,4,7,2H,30,2.054,2.511386214,2.38636711,590
P,HOK,HOK,SEK,2,3,7,3A,30,1.502,1.836466453,1.711447348,590
AB,HOK,HOK,SEK,2,3,7,3B,30,1.523,1.862142748,1.737123644,590
P,SEK,HOK,SEK,2,3,7,3C,30,1.045,1.27770136,1.152682256,590
AB,SEK,HOK,SEK,2,3,7,3D,30,0.383,0.4682867186,0.3432676142,590
P,SEK,SEK,SEK,2,3,7,3E,30,1.969,2.407458352,2.282439248,590
AB,SEK,SEK,SEK,2,3,7,3F,30,0.392,0.4792908452,0.3542717408,590
P,HOK,SEK,SEK,2,3,7,3G,30,0.394,0.4817362066,0.3567171022,590
AB,HOK,SEK,SEK,2,3,7,3H,30,0.383,0.4682867186,0.3432676142,590
P,HOK,HOK,SEK,2,2,7,4A,30,1.057,1.292373529,1.167354425,590
AB,HOK,HOK,SEK,2,2,7,4B,30,1.299,1.588262265,1.463243161,590
P,SEK,HOK,SEK,2,2,7,4C,30,1.471,1.79856335,1.673544246,590
AB,SEK,HOK,SEK,2,2,7,4D,30,1.462,1.787559224,1.662540119,590
P,SEK,SEK,SEK,2,2,7,4E,30,1.304,1.594375669,1.469356564,590
AB,SEK,SEK,SEK,2,2,7,4F,30,0.367,0.448723827,0.3237047226,590
P,HOK,SEK,SEK,2,2,7,4G,30,0.323,0.394925875,0.2699067706,590
AB,HOK,SEK,SEK,2,2,7,4H,30,0.785,0.9598043711,0.8347852667,590
P,HOK,HOK,SEK,2,1,7,5A,30,0.929,1.135870396,1.010851291,590
AB,HOK,HOK,SEK,2,1,7,5B,30,0.523,0.6394620205,0.5144429161,590
P,SEK,HOK,SEK,2,1,7,5C,30,0.583,0.7128228641,0.5878037597,590
AB,SEK,HOK,SEK,2,1,7,5D,30,0.796,0.9732538591,0.8482347547,590
P,SEK,SEK,SEK,2,1,7,5E,30,0.833,1.018493046,0.8934739416,590
AB,SEK,SEK,SEK,2,1,7,5F,30,0.517,0.6321259361,0.5071068317,590
P,HOK,SEK,SEK,2,1,7,5G,30,0.514,0.6284578939,0.5034387895,590
AB,HOK,SEK,SEK,2,1,7,5H,30,0.632,0.7727342198,0.6477151154,590
P,HOK,HOK,HOK,2,5,7,6A,30,1.754,2.144581996,2.019562892,590
AB,HOK,HOK,HOK,2,5,7,6B,30,0.437,0.5343114779,0.4092923735,590
P,SEK,HOK,HOK,2,5,7,6C,30,0.428,0.5233073514,0.398288247,590
AB,SEK,HOK,HOK,2,5,7,6D,30,0.754,0.9219012685,0.7968821641,590
P,SEK,SEK,HOK,2,5,7,6E,30,1.396,1.706862296,1.581843191,590
AB,SEK,SEK,HOK,2,5,7,6F,30,1.04,1.271587957,1.146568852,590
P,HOK,SEK,HOK,2,5,7,6G,30,1.301,1.590707626,1.465688522,590
AB,HOK,SEK,HOK,2,5,7,6H,30,0.619,0.7568393703,0.6318202659,590
P,HOK,HOK,HOK,2,4,7,7A,30,0.326,0.3985939172,0.2735748128,590
AB,HOK,HOK,HOK,2,4,7,7B,30,0.285,0.3484640073,0.2234449029,590
P,SEK,HOK,HOK,2,4,7,7C,30,0.394,0.4817362066,0.3567171022,590
AB,SEK,HOK,HOK,2,4,7,7D,30,0.513,0.6272352132,0.5022161088,590
P,SEK,SEK,HOK,2,4,7,7E,30,0.348,0.4254928932,0.3004737888,590
AB,SEK,SEK,HOK,2,4,7,7F,30,0.393,0.4805135259,0.3554944215,590
P,HOK,SEK,HOK,2,4,7,7G,30,0.32,0.3912578328,0.2662387284,590
AB,HOK,SEK,HOK,2,4,7,7H,30,0.855,1.045392022,0.9203729176,590
P,HOK,HOK,HOK,2,3,7,8A,30,0.356,0.435274339,0.3102552346,590
AB,HOK,HOK,HOK,2,3,7,8B,30,0.828,1.012379642,0.887360538,590
P,SEK,HOK,HOK,2,3,7,8C,30,0.516,0.6309032554,0.505884151,590
AB,SEK,HOK,HOK,2,3,7,8D,30,0.729,0.8913342503,0.766315146,590
P,SEK,SEK,HOK,2,3,7,8E,30,0.399,0.4878496103,0.3628305059,590
AB,SEK,SEK,HOK,2,3,7,8F,30,0.704,0.8607672322,0.7357481278,590
P,HOK,SEK,HOK,2,3,7,8G,30,1.935,2.365887208,2.240868103,590
AB,HOK,SEK,HOK,2,3,7,8H,30,0.422,0.515971267,0.3909521626,590
P,HOK,HOK,HOK,2,2,7,9A,30,0.476,0.5819960263,0.4569769219,590
AB,HOK,HOK,HOK,2,2,7,9B,30,0.482,0.5893321107,0.4643130063,590
P,SEK,HOK,HOK,2,2,7,9C,30,1.343,1.642060217,1.517041113,590
AB,SEK,HOK,HOK,2,2,7,9D,30,0.48,0.5868867492,0.4618676448,590
P,SEK,SEK,HOK,2,2,7,9E,30,0.568,0.6944826532,0.5694635488,590
AB,SEK,SEK,HOK,2,2,7,9F,30,0.516,0.6309032554,0.505884151,590
P,HOK,SEK,HOK,2,2,7,9G,30,1.623,1.984410821,1.859391716,590
AB,HOK,SEK,HOK,2,2,7,9H,30,0.867,1.060064191,0.9350450864,590
P,HOK,HOK,HOK,2,1,7,10A,30,0.509,0.6223444903,0.4973253859,590
AB,HOK,HOK,HOK,2,1,7,10B,30,0.9,1.100412655,0.9753935504,590
P,SEK,HOK,HOK,2,1,7,10C,30,0.54,0.6602475928,0.5352284885,590
AB,SEK,HOK,HOK,2,1,7,10D,30,0.677,0.8277548525,0.7027357481,590
P,SEK,SEK,HOK,2,1,7,10E,30,0.468,0.5722145805,0.4471954761,590
AB,SEK,SEK,HOK,2,1,7,10F,30,0.511,0.6247898517,0.4997707474,590
P,HOK,SEK,HOK,2,1,7,10G,30,0.47,0.5746599419,0.4496408375,590
AB,HOK,SEK,HOK,2,1,7,10H,30,0.53,0.6480207856,0.5230016812,590
P,HOK,HOK,SEK,1,5,7,1A,30,0.426,0.5208619899,0.3958428855,590
AB,HOK,HOK,SEK,1,5,7,1B,30,1.383,1.690967446,1.565948342,590
P,SEK,HOK,SEK,1,5,7,1C,30,1.437,1.756992205,1.631973101,590
AB,SEK,HOK,SEK,1,5,7,1D,30,0.551,0.6736970808,0.5486779765,590
P,SEK,SEK,SEK,1,5,7,1E,30,0.35,0.4279382546,0.3029191502,590
AB,SEK,SEK,SEK,1,5,7,1F,30,0.312,0.381476387,0.2564572826,590
P,HOK,SEK,SEK,1,5,7,1G,30,0.375,0.4585052728,0.3334861684,590
AB,HOK,SEK,SEK,1,5,7,1H,30,0.349,0.4267155739,0.3016964695,590
