treatment,tree_id,deploy,metabolite,hfa,site_num,tree_num,decomp_day,well_id,time,od_corrected
P,HOK,HOK ,SEK,A,2,5,1,1A,30,1.0665
AB,HOK,HOK ,SEK,A,2,5,1,1B,30,0.4105
P,SEK,HOK ,SEK,H,2,5,1,1C,30,1.4695
AB,SEK,HOK ,SEK,H,2,5,1,1D,30,0.3615
P,SEK,SEK ,SEK,H,2,5,1,1E,30,0.4045
AB,SEK,SEK ,SEK,H,2,5,1,1F,30,0.6205
P,HOK,SEK ,SEK,A,2,5,1,1G,30,0.7775
AB,HOK,SEK ,SEK,A,2,5,1,1H,30,1.1455
P,HOK,HOK ,SEK,A,2,5,1,2A,30,0.3475
AB,HOK,HOK ,SEK,A,2,5,1,2B,30,0.6425
P,SEK,HOK ,SEK,H,2,5,1,2C,30,0.4095
AB,SEK,HOK ,SEK,H,2,5,1,2D,30,1.1355
P,SEK,SEK ,SEK,H,2,5,1,2E,30,0.7055
AB,SEK,SEK ,SEK,H,2,5,1,2F,30,1.2435
P,HOK,SEK ,SEK,A,2,5,1,2G,30,0.3905
AB,HOK,SEK ,SEK,A,2,5,1,2H,30,0.4935
P,HOK,HOK ,SEK,A,2,5,1,3A,30,0.2225
AB,HOK,HOK ,SEK,A,2,5,1,3B,30,1.2715
P,SEK,HOK ,SEK,H,2,5,1,3C,30,0.2015
AB,SEK,HOK ,SEK,H,2,5,1,3D,30,0.2215
P,SEK,SEK ,SEK,H,2,5,1,3E,30,0.2625
AB,SEK,SEK ,SEK,H,2,5,1,3F,30,0.6145
P,HOK,SEK ,SEK,A,2,5,1,3G,30,1.2425
AB,HOK,SEK ,SEK,A,2,5,1,3H,30,0.2595
P,HOK,HOK ,SEK,A,2,4,1,4A,30,1.0065
AB,HOK,HOK ,SEK,A,2,4,1,4B,30,0.2935
P,SEK,HOK ,SEK,H,2,4,1,4C,30,1.6935
AB,SEK,HOK ,SEK,H,2,4,1,4D,30,1.3005
P,SEK,SEK ,SEK,H,2,4,1,4E,30,1.3735
AB,SEK,SEK ,SEK,H,2,4,1,4F,30,1.6955
P,HOK,SEK ,SEK,A,2,4,1,4G,30,0.3365
AB,HOK,SEK ,SEK,A,2,4,1,4H,30,1.2735
P,HOK,HOK ,SEK,A,2,4,1,5A,30,0.4995
AB,HOK,HOK ,SEK,A,2,4,1,5B,30,1.4345
P,SEK,HOK ,SEK,H,2,4,1,5C,30,0.8795
AB,SEK,HOK ,SEK,H,2,4,1,5D,30,0.7065
P,SEK,SEK ,SEK,H,2,4,1,5E,30,0.4715
AB,SEK,SEK ,SEK,H,2,4,1,5F,30,1.2025
P,HOK,SEK ,SEK,A,2,4,1,5G,30,0.6805
AB,HOK,SEK ,SEK,A,2,4,1,5H,30,1.3925
P,HOK,HOK ,HOK,H,2,4,1,6A,30,1.2015
AB,HOK,HOK ,HOK,H,2,4,1,6B,30,0.2815
P,SEK,HOK ,HOK,A,2,4,1,6C,30,1.4045
AB,SEK,HOK ,HOK,A,2,4,1,6D,30,0.5205
P,SEK,SEK ,HOK,A,2,4,1,6E,30,1.0185
AB,SEK,SEK ,HOK,A,2,4,1,6F,30,1.2305
P,HOK,SEK ,HOK,H,2,4,1,6G,30,0.9745
AB,HOK,SEK ,HOK,H,2,4,1,6H,30,0.3855
P,HOK,HOK ,HOK,H,2,3,1,7A,30,0.1895
AB,HOK,HOK ,HOK,H,2,3,1,7B,30,1.3355
P,SEK,HOK ,HOK,A,2,3,1,7C,30,0.1695
AB,SEK,HOK ,HOK,A,2,3,1,7D,30,1.2775
P,SEK,SEK ,HOK,A,2,3,1,7E,30,0.2185
AB,SEK,SEK ,HOK,A,2,3,1,7F,30,0.2155
P,HOK,SEK ,HOK,H,2,3,1,7G,30,0.4955
AB,HOK,SEK ,HOK,H,2,3,1,7H,30,0.2195
P,HOK,HOK ,HOK,H,2,3,1,8A,30,0.3035
AB,HOK,HOK ,HOK,H,2,3,1,8B,30,0.5035
P,SEK,HOK ,HOK,A,2,3,1,8C,30,0.5695
AB,SEK,HOK ,HOK,A,2,3,1,8D,30,0.3235
P,SEK,SEK ,HOK,A,2,3,1,8E,30,0.6905
AB,SEK,SEK ,HOK,A,2,3,1,8F,30,0.3415
P,HOK,SEK ,HOK,H,2,3,1,8G,30,0.8425
AB,HOK,SEK ,HOK,H,2,3,1,8H,30,1.3745
P,HOK,HOK ,HOK,H,2,3,1,9A,30,1.5255
AB,HOK,HOK ,HOK,H,2,3,1,9B,30,1.6555
P,SEK,HOK ,HOK,A,2,3,1,9C,30,0.9775
AB,SEK,HOK ,HOK,A,2,3,1,9D,30,0.5875
P,SEK,SEK ,HOK,A,2,3,1,9E,30,0.9345
AB,SEK,SEK ,HOK,A,2,3,1,9F,30,0.5565
P,HOK,SEK ,HOK,H,2,3,1,9G,30,0.7955
AB,HOK,SEK ,HOK,H,2,3,1,9H,30,0.6695
P,HOK,HOK ,HOK,H,2,2,1,10A,30,0.4665
AB,HOK,HOK ,HOK,H,2,2,1,10B,30,0.3815
P,SEK,HOK ,HOK,A,2,2,1,10C,30,0.8125
AB,SEK,HOK ,HOK,A,2,2,1,10D,30,1.3785
P,SEK,SEK ,HOK,A,2,2,1,10E,30,0.3755
AB,SEK,SEK ,HOK,A,2,2,1,10F,30,2.0255
P,HOK,SEK ,HOK,H,2,2,1,10G,30,1.6785
AB,HOK,SEK ,HOK,H,2,2,1,10H,30,1.7105
P,HOK,HOK ,SEK,A,1,5,1,1A,30,0.22025
AB,HOK,HOK ,SEK,A,1,5,1,1B,30,0.17925
P,SEK,HOK ,SEK,H,1,5,1,1C,30,0.23825
AB,SEK,HOK ,SEK,H,1,5,1,1D,30,0.25525
P,SEK,SEK ,SEK,H,1,5,1,1E,30,0.15525
AB,SEK,SEK ,SEK,H,1,5,1,1F,30,0.54225
P,HOK,SEK ,SEK,A,1,5,1,1G,30,0.26525
AB,HOK,SEK ,SEK,A,1,5,1,1H,30,0.35925
P,HOK,HOK ,SEK,A,1,5,1,2A,30,0.85925
AB,HOK,HOK ,SEK,A,1,1,1,2B,30,0.59925
P,SEK,HOK ,SEK,H,1,1,1,2C,30,1.23125
AB,SEK,HOK ,SEK,H,1,1,1,2D,30,0.57425
P,SEK,SEK ,SEK,H,1,1,1,2E,30,0.42925
AB,SEK,SEK ,SEK,H,1,1,1,2F,30,1.27925
P,HOK,SEK ,SEK,A,1,1,1,2G,30,1.34925
AB,HOK,SEK ,SEK,A,1,1,1,2H,30,1.23925
P,HOK,HOK ,SEK,A,1,1,1,3A,30,0.19625
AB,HOK,HOK ,SEK,A,1,1,1,3B,30,0.35625
P,SEK,HOK ,SEK,H,1,1,1,3C,30,0.98325
AB,SEK,HOK ,SEK,H,1,1,1,3D,30,1.37525
P,SEK,SEK ,SEK,H,1,1,1,3E,30,1.65025
AB,SEK,SEK ,SEK,H,1,1,1,3F,30,0.15225
P,HOK,SEK ,SEK,A,1,1,1,3G,30,0.40225
AB,HOK,SEK ,SEK,A,1,1,1,3H,30,0.49825
P,HOK,HOK ,SEK,A,1,1,1,4A,30,0.34425
AB,HOK,HOK ,SEK,A,1,1,1,4B,30,1.24225
P,SEK,HOK ,SEK,H,1,1,1,4C,30,0.35925
AB,SEK,HOK ,SEK,H,1,1,1,4D,30,0.77125
P,SEK,SEK ,SEK,H,1,1,1,4E,30,1.31825
AB,SEK,SEK ,SEK,H,1,1,1,4F,30,0.93325
P,HOK,SEK ,SEK,A,1,1,1,4G,30,1.41725
