treatment,tree_id,deploy,metabolite,site_num,tree_num,decomp_day,well_id,time,od_raw,od_corrected_b,od_corrected_b_n,nm
P,SEK,HOK,SEK,1,3,1,3C,120,,,,450
AB,SEK,HOK,SEK,1,3,1,3D,120,,,,450
P,SEK,SEK,SEK,1,3,1,3E,120,,,,450
AB,SEK,SEK,SEK,1,3,1,3F,120,,,,450
P,HOK,SEK,SEK,1,3,1,3G,120,,,,450
AB,HOK,SEK,SEK,1,3,1,3H,120,,,,450
P,HOK,HOK,SEK,1,2,1,4A,120,,,,450
AB,HOK,HOK,SEK,1,2,1,4B,120,,,,450
P,SEK,HOK,SEK,1,2,1,4C,120,,,,450
AB,SEK,HOK,SEK,1,2,1,4D,120,,,,450
P,SEK,SEK,SEK,1,2,1,4E,120,,,,450
AB,SEK,SEK,SEK,1,2,1,4F,120,,,,450
P,HOK,SEK,SEK,1,2,1,4G,120,,,,450
AB,HOK,SEK,SEK,1,2,1,4H,120,,,,450
P,HOK,HOK,SEK,1,1,1,5A,120,,,,450
AB,HOK,HOK,SEK,1,1,1,5B,120,,,,450
P,SEK,HOK,SEK,1,1,1,5C,120,,,,450
AB,SEK,HOK,SEK,1,1,1,5D,120,,,,450
P,SEK,SEK,SEK,1,1,1,5E,120,,,,450
AB,SEK,SEK,SEK,1,1,1,5F,120,,,,450
P,HOK,SEK,SEK,1,1,1,5G,120,,,,450
AB,HOK,SEK,SEK,1,1,1,5H,120,,,,450
P,HOK,HOK,HOK,1,5,1,6A,120,,,,450
AB,HOK,HOK,HOK,1,5,1,6B,120,,,,450
P,SEK,HOK,HOK,1,5,1,6C,120,,,,450
AB,SEK,HOK,HOK,1,5,1,6D,120,,,,450
P,SEK,SEK,HOK,1,5,1,6E,120,,,,450
AB,SEK,SEK,HOK,1,5,1,6F,120,,,,450
P,HOK,SEK,HOK,1,5,1,6G,120,,,,450
AB,HOK,SEK,HOK,1,5,1,6H,120,,,,450
P,HOK,HOK,HOK,1,4,1,7A,120,,,,450
AB,HOK,HOK,HOK,1,4,1,7B,120,,,,450
P,SEK,HOK,HOK,1,4,1,7C,120,,,,450
AB,SEK,HOK,HOK,1,4,1,7D,120,,,,450
P,SEK,SEK,HOK,1,4,1,7E,120,,,,450
AB,SEK,SEK,HOK,1,4,1,7F,120,,,,450
P,HOK,SEK,HOK,1,4,1,7G,120,,,,450
AB,HOK,SEK,HOK,1,4,1,7H,120,,,,450
P,HOK,HOK,HOK,1,3,1,8A,120,,,,450
AB,HOK,HOK,HOK,1,3,1,8B,120,,,,450
P,SEK,HOK,HOK,1,3,1,8C,120,,,,450
AB,SEK,HOK,HOK,1,3,1,8D,120,,,,450
P,SEK,SEK,HOK,1,3,1,8E,120,,,,450
AB,SEK,SEK,HOK,1,3,1,8F,120,,,,450
P,HOK,SEK,HOK,1,3,1,8G,120,,,,450
AB,HOK,SEK,HOK,1,3,1,8H,120,,,,450
P,HOK,HOK,HOK,1,2,1,9A,120,,,,450
AB,HOK,HOK,HOK,1,2,1,9B,120,,,,450
P,SEK,HOK,HOK,1,2,1,9C,120,,,,450
AB,SEK,HOK,HOK,1,2,1,9D,120,,,,450
P,SEK,SEK,HOK,1,2,1,9E,120,,,,450
AB,SEK,SEK,HOK,1,2,1,9FR,120,,,,450
P,HOK,SEK,HOK,1,2,1,9G,120,,,,450
AB,HOK,SEK,HOK,1,2,1,9H,120,,,,450
P,HOK,HOK,HOK,1,1,1,10A,120,,,,450
AB,HOK,HOK,HOK,1,1,1,10B,120,,,,450
P,SEK,HOK,HOK,1,1,1,10C,120,,,,450
AB,SEK,HOK,HOK,1,1,1,10D,120,,,,450
P,SEK,SEK,HOK,1,1,1,10E,120,,,,450
AB,SEK,SEK,HOK,1,1,1,10F,120,,,,450
P,HOK,SEK,HOK,1,1,1,10G,120,,,,450
