treatment,tree_id,deploy,metabolite,hfa,site_num,tree_num,decomp_day,well_id,time,od_raw
P,HOK,HOK ,HOK,H,1,5,11,6A,30,1.957
AB,HOK,HOK ,HOK,H,1,5,11,6B,30,1.837
P,SEK,HOK ,HOK,A,1,5,11,6C,30,1.431
AB,SEK,HOK ,HOK,A,1,5,11,6D,30,1.859
P,SEK,SEK ,HOK,A,1,5,11,6E,30,1.523
AB,SEK,SEK ,HOK,A,1,5,11,6F,30,0.655
P,HOK,SEK ,HOK,H,1,5,11,6G,30,2.153
AB,HOK,SEK ,HOK,H,1,5,11,6H,30,1.911
P,HOK,HOK ,HOK,H,1,5,11,7A,30,1.718
AB,HOK,HOK ,HOK,H,1,5,11,7B,30,0.338
P,SEK,HOK ,HOK,A,1,5,11,7C,30,0.21
AB,SEK,HOK ,HOK,A,1,5,11,7D,30,0.691
P,SEK,SEK ,HOK,A,1,5,11,7E,30,0.285
AB,SEK,SEK ,HOK,A,1,5,11,7F,30,0.782
P,HOK,SEK ,HOK,H,1,5,11,7G,30,0.855
AB,HOK,SEK ,HOK,H,1,5,11,7H,30,0.849
P,HOK,HOK ,HOK,H,1,5,11,8A,30,1.665
AB,HOK,HOK ,HOK,H,1,5,11,8B,30,0.925
P,SEK,HOK ,HOK,A,1,5,11,8C,30,1.561
AB,SEK,HOK ,HOK,A,1,5,11,8D,30,1.206
P,SEK,SEK ,HOK,A,1,5,11,8E,30,1.205
AB,SEK,SEK ,HOK,A,1,5,11,8F,30,1.94
P,HOK,SEK ,HOK,H,1,5,11,8G,30,1.354
AB,HOK,SEK ,HOK,H,1,5,11,8H,30,2.034
P,HOK,HOK ,HOK,H,1,4,11,9A,30,1.79
AB,HOK,HOK ,HOK,H,1,4,11,9B,30,1.735
P,SEK,HOK ,HOK,A,1,4,11,9C,30,1.672
AB,SEK,HOK ,HOK,A,1,4,11,9D,30,1.203
P,SEK,SEK ,HOK,A,1,4,11,9E,30,0.898
AB,SEK,SEK ,HOK,A,1,4,11,9FR,30,1.979
P,HOK,SEK ,HOK,H,1,4,11,9G,30,2.059
AB,HOK,SEK ,HOK,H,1,4,11,9H,30,1.241
P,HOK,HOK ,HOK,H,1,4,11,10A,30,2.421
AB,HOK,HOK ,HOK,H,1,4,11,10B,30,1.94
P,SEK,HOK ,HOK,A,1,4,11,10C,30,1.708
AB,SEK,HOK ,HOK,A,1,4,11,10D,30,1.861
P,SEK,SEK ,HOK,A,1,4,11,10E,30,1.242
AB,SEK,SEK ,HOK,A,1,4,11,10F,30,2.088
P,HOK,SEK ,HOK,H,1,4,11,10G,30,2.037
AB,HOK,SEK ,HOK,H,1,4,11,10H,30,1.089
P,HOK,HOK ,SEK,A,2,5,11,1A,120,0.598
AB,HOK,HOK ,SEK,A,2,5,11,1B,120,0.866
P,SEK,HOK ,SEK,H,2,5,11,1C,120,0.376
AB,SEK,HOK ,SEK,H,2,5,11,1D,120,0.28
P,SEK,SEK ,SEK,H,2,5,11,1E,120,0.471
AB,SEK,SEK ,SEK,H,2,5,11,1F,120,0.303
P,HOK,SEK ,SEK,A,2,5,11,1G,120,1.651
AB,HOK,SEK ,SEK,A,2,5,11,1H,120,0.351
P,HOK,HOK ,SEK,A,2,5,11,2A,120,0.457
AB,HOK,HOK ,SEK,A,2,5,11,2B,120,0.349
P,SEK,HOK ,SEK,H,2,5,11,2C,120,0.462
AB,SEK,HOK ,SEK,H,2,5,11,2D,120,0.266
P,SEK,SEK ,SEK,H,2,5,11,2E,120,0.303
AB,SEK,SEK ,SEK,H,2,5,11,2F,120,0.23
P,HOK,SEK ,SEK,A,2,5,11,2G,120,1.201
AB,HOK,SEK ,SEK,A,2,5,11,2H,120,0.375
P,HOK,HOK ,SEK,A,2,5,11,3A,120,1.273
AB,HOK,HOK ,SEK,A,2,5,11,3B,120,0.558
P,SEK,HOK ,SEK,H,2,5,11,3C,120,0.862
AB,SEK,HOK ,SEK,H,2,5,11,3D,120,0.32
P,SEK,SEK ,SEK,H,2,5,11,3E,120,1.405
AB,SEK,SEK ,SEK,H,2,5,11,3F,120,0.634
P,HOK,SEK ,SEK,A,2,5,11,3G,120,0.665
AB,HOK,SEK ,SEK,A,2,5,11,3H,120,0.318
P,HOK,HOK ,SEK,A,2,4,11,4A,120,1.464
AB,HOK,HOK ,SEK,A,2,4,11,4B,120,1.47
P,SEK,HOK ,SEK,H,2,4,11,4C,120,0.296
AB,SEK,HOK ,SEK,H,2,4,11,4D,120,0.264
P,SEK,SEK ,SEK,H,2,4,11,4E,120,0.629
AB,SEK,SEK ,SEK,H,2,4,11,4F,120,1.273
P,HOK,SEK ,SEK,A,2,4,11,4G,120,0.562
AB,HOK,SEK ,SEK,A,2,4,11,4H,120,0.401
P,HOK,HOK ,SEK,A,2,4,11,5A,120,0.452
AB,HOK,HOK ,SEK,A,2,4,11,5B,120,1.233
P,SEK,HOK ,SEK,H,2,4,11,5C,120,0.327
AB,SEK,HOK ,SEK,H,2,4,11,5D,120,0.323
P,SEK,SEK ,SEK,H,2,4,11,5E,120,0.447
AB,SEK,SEK ,SEK,H,2,4,11,5F,120,0.573
P,HOK,SEK ,SEK,A,2,4,11,5G,120,0.497
AB,HOK,SEK ,SEK,A,2,4,11,5H,120,0.3
P,HOK,HOK ,HOK,H,2,4,11,6A,120,0.397
AB,HOK,HOK ,HOK,H,2,4,11,6B,120,0.309
P,SEK,HOK ,HOK,A,2,4,11,6C,120,0.332
AB,SEK,HOK ,HOK,A,2,4,11,6D,120,0.324
P,SEK,SEK ,HOK,A,2,4,11,6E,120,0.454
AB,SEK,SEK ,HOK,A,2,4,11,6F,120,0.47
P,HOK,SEK ,HOK,H,2,4,11,6G,120,0.269
AB,HOK,SEK ,HOK,H,2,4,11,6H,120,0.413
P,HOK,HOK ,HOK,H,2,3,11,7A,120,0.357
AB,HOK,HOK ,HOK,H,2,3,11,7B,120,0.382
P,SEK,HOK ,HOK,A,2,3,11,7C,120,1.108
AB,SEK,HOK ,HOK,A,2,3,11,7D,120,0.518
P,SEK,SEK ,HOK,A,2,3,11,7E,120,0.4
AB,SEK,SEK ,HOK,A,2,3,11,7F,120,0.988
P,HOK,SEK ,HOK,H,2,3,11,7G,120,1.928
AB,HOK,SEK ,HOK,H,2,3,11,7H,120,0.658
P,HOK,HOK ,HOK,H,2,3,11,8A,120,0.632
AB,HOK,HOK ,HOK,H,2,3,11,8B,120,1.597
P,SEK,HOK ,HOK,A,2,3,11,8C,120,0.54
AB,SEK,HOK ,HOK,A,2,3,11,8D,120,0.51
P,SEK,SEK ,HOK,A,2,3,11,8E,120,1.8
AB,SEK,SEK ,HOK,A,2,3,11,8F,120,0.521
P,HOK,SEK ,HOK,H,2,3,11,8G,120,0.943
AB,HOK,SEK ,HOK,H,2,3,11,8H,120,1.2
P,HOK,HOK ,HOK,H,2,3,11,9A,120,1.919
AB,HOK,HOK ,HOK,H,2,3,11,9B,120,0.36
P,SEK,HOK ,HOK,A,2,3,11,9C,120,1.076
AB,SEK,HOK ,HOK,A,2,3,11,9D,120,0.266
P,SEK,SEK ,HOK,A,2,3,11,9E,120,1.258
AB,SEK,SEK ,HOK,A,2,3,11,9F,120,1.812
P,HOK,SEK ,HOK,H,2,3,11,9G,120,2.146
AB,HOK,SEK ,HOK,H,2,3,11,9H,120,1.219
P,HOK,HOK ,HOK,H,2,2,11,10A,120,2.067
AB,HOK,HOK ,HOK,H,2,2,11,10B,120,1.329
P,SEK,HOK ,HOK,A,2,2,11,10C,120,1.773
AB,SEK,HOK ,HOK,A,2,2,11,10D,120,0.883
P,SEK,SEK ,HOK,A,2,2,11,10E,120,0.637
AB,SEK,SEK ,HOK,A,2,2,11,10F,120,1.913
P,HOK,SEK ,HOK,H,2,2,11,10G,120,2.541
AB,HOK,SEK ,HOK,H,2,2,11,10H,120,2.208
P,HOK,HOK ,SEK,A,1,5,11,1A,120,2.219
AB,HOK,HOK ,SEK,A,1,5,11,1B,120,1.878
P,SEK,HOK ,SEK,H,1,5,11,1C,120,1.083
AB,SEK,HOK ,SEK,H,1,5,11,1D,120,0.901
P,SEK,SEK ,SEK,H,1,5,11,1E,120,1.191
AB,SEK,SEK ,SEK,H,1,5,11,1F,120,1.099
P,HOK,SEK ,SEK,A,1,5,11,1G,120,1.776
AB,HOK,SEK ,SEK,A,1,5,11,1H,120,1.329
P,HOK,HOK ,SEK,A,1,5,11,2A,120,1.811
AB,HOK,HOK ,SEK,A,1,1,11,2B,120,1.365
P,SEK,HOK ,SEK,H,1,1,11,2C,120,1.91
AB,SEK,HOK ,SEK,H,1,1,11,2D,120,2.113
P,SEK,SEK ,SEK,H,1,1,11,2E,120,0.878
AB,SEK,SEK ,SEK,H,1,1,11,2F,120,1.382
P,HOK,SEK ,SEK,A,1,1,11,2G,120,1.503
AB,HOK,SEK ,SEK,A,1,1,11,2H,120,1.467
P,HOK,HOK ,SEK,A,1,1,11,3A,120,0.604
AB,HOK,HOK ,SEK,A,1,1,11,3B,120,0.407
P,SEK,HOK ,SEK,H,1,1,11,3C,120,1.304
AB,SEK,HOK ,SEK,H,1,1,11,3D,120,1.29
P,SEK,SEK ,SEK,H,1,1,11,3E,120,1.158
AB,SEK,SEK ,SEK,H,1,1,11,3F,120,1.954
P,HOK,SEK ,SEK,A,1,1,11,3G,120,1.102
AB,HOK,SEK ,SEK,A,1,1,11,3H,120,1.8
P,HOK,HOK ,SEK,A,1,1,11,4A,120,1.27
AB,HOK,HOK ,SEK,A,1,1,11,4B,120,0.456
P,SEK,HOK ,SEK,H,1,1,11,4C,120,0.381
AB,SEK,HOK ,SEK,H,1,1,11,4D,120,0.407
P,SEK,SEK ,SEK,H,1,1,11,4E,120,0.397
AB,SEK,SEK ,SEK,H,1,1,11,4F,120,1.88
P,HOK,SEK ,SEK,A,1,1,11,4G,120,1.249
AB,HOK,SEK ,SEK,A,1,1,11,4H,120,1.272
P,HOK,HOK ,SEK,A,1,1,11,5A,120,1.229
AB,HOK,HOK ,SEK,A,1,1,11,5B,120,0.893
P,SEK,HOK ,SEK,H,1,1,11,5C,120,1.873
AB,SEK,HOK ,SEK,H,1,1,11,5D,120,1.792
P,SEK,SEK ,SEK,H,1,1,11,5E,120,1.88
AB,SEK,SEK ,SEK,H,1,1,11,5F,120,0.99
P,HOK,SEK ,SEK,A,1,1,11,5G,120,1.183
AB,HOK,SEK ,SEK,A,1,1,11,5H,120,0.325
P,HOK,HOK ,HOK,H,1,5,11,6A,120,2.01
AB,HOK,HOK ,HOK,H,1,5,11,6B,120,1.77
P,SEK,HOK ,HOK,A,1,5,11,6C,120,1.559
AB,SEK,HOK ,HOK,A,1,5,11,6D,120,1.689
P,SEK,SEK ,HOK,A,1,5,11,6E,120,1.864
AB,SEK,SEK ,HOK,A,1,5,11,6F,120,0.689
P,HOK,SEK ,HOK,H,1,5,11,6G,120,2.025
AB,HOK,SEK ,HOK,H,1,5,11,6H,120,2.058
P,HOK,HOK ,HOK,H,1,5,11,7A,120,0.425
AB,HOK,HOK ,HOK,H,1,5,11,7B,120,0.375
P,SEK,HOK ,HOK,A,1,5,11,7C,120,0.202
AB,SEK,HOK ,HOK,A,1,5,11,7D,120,0.33
P,SEK,SEK ,HOK,A,1,5,11,7E,120,0.28
AB,SEK,SEK ,HOK,A,1,5,11,7F,120,0.6
P,HOK,SEK ,HOK,H,1,5,11,7G,120,0.664
AB,HOK,SEK ,HOK,H,1,5,11,7H,120,0.556
P,HOK,HOK ,HOK,H,1,5,11,8A,120,0.943
AB,HOK,HOK ,HOK,H,1,5,11,8B,120,1.172
P,SEK,HOK ,HOK,A,1,5,11,8C,120,1.505
AB,SEK,HOK ,HOK,A,1,5,11,8D,120,1.134
P,SEK,SEK ,HOK,A,1,5,11,8E,120,1.217
AB,SEK,SEK ,HOK,A,1,5,11,8F,120,2.105
P,HOK,SEK ,HOK,H,1,5,11,8G,120,1.054
AB,HOK,SEK ,HOK,H,1,5,11,8H,120,1.818
P,HOK,HOK ,HOK,H,1,4,11,9A,120,1.054
AB,HOK,HOK ,HOK,H,1,4,11,9B,120,1.115
P,SEK,HOK ,HOK,A,1,4,11,9C,120,1.63
AB,SEK,HOK ,HOK,A,1,4,11,9D,120,0.887
P,SEK,SEK ,HOK,A,1,4,11,9E,120,0.853
AB,SEK,SEK ,HOK,A,1,4,11,9FR,120,1.754
P,HOK,SEK ,HOK,H,1,4,11,9G,120,1.953
AB,HOK,SEK ,HOK,H,1,4,11,9H,120,0.702
P,HOK,HOK ,HOK,H,1,4,11,10A,120,2.246
AB,HOK,HOK ,HOK,H,1,4,11,10B,120,1.871
P,SEK,HOK ,HOK,A,1,4,11,10C,120,1.249
AB,SEK,HOK ,HOK,A,1,4,11,10D,120,1.69
P,SEK,SEK ,HOK,A,1,4,11,10E,120,1.52
AB,SEK,SEK ,HOK,A,1,4,11,10F,120,1.807
P,HOK,SEK ,HOK,H,1,4,11,10G,120,1.675
AB,HOK,SEK ,HOK,H,1,4,11,10H,120,0.497
P,HOK,HOK ,SEK,A,2,5,11,1A,960,
AB,HOK,HOK ,SEK,A,2,5,11,1B,960,
P,SEK,HOK ,SEK,H,2,5,11,1C,960,
AB,SEK,HOK ,SEK,H,2,5,11,1D,960,
P,SEK,SEK ,SEK,H,2,5,11,1E,960,
AB,SEK,SEK ,SEK,H,2,5,11,1F,960,
P,HOK,SEK ,SEK,A,2,5,11,1G,960,
AB,HOK,SEK ,SEK,A,2,5,11,1H,960,
P,HOK,HOK ,SEK,A,2,5,11,2A,960,
AB,HOK,HOK ,SEK,A,2,5,11,2B,960,
P,SEK,HOK ,SEK,H,2,5,11,2C,960,
AB,SEK,HOK ,SEK,H,2,5,11,2D,960,
P,SEK,SEK ,SEK,H,2,5,11,2E,960,
AB,SEK,SEK ,SEK,H,2,5,11,2F,960,
P,HOK,SEK ,SEK,A,2,5,11,2G,960,
AB,HOK,SEK ,SEK,A,2,5,11,2H,960,
P,HOK,HOK ,SEK,A,2,5,11,3A,960,
AB,HOK,HOK ,SEK,A,2,5,11,3B,960,
P,SEK,HOK ,SEK,H,2,5,11,3C,960,
AB,SEK,HOK ,SEK,H,2,5,11,3D,960,
P,SEK,SEK ,SEK,H,2,5,11,3E,960,
AB,SEK,SEK ,SEK,H,2,5,11,3F,960,
P,HOK,SEK ,SEK,A,2,5,11,3G,960,
AB,HOK,SEK ,SEK,A,2,5,11,3H,960,
P,HOK,HOK ,SEK,A,2,4,11,4A,960,
AB,HOK,HOK ,SEK,A,2,4,11,4B,960,
P,SEK,HOK ,SEK,H,2,4,11,4C,960,
AB,SEK,HOK ,SEK,H,2,4,11,4D,960,
P,SEK,SEK ,SEK,H,2,4,11,4E,960,
AB,SEK,SEK ,SEK,H,2,4,11,4F,960,
P,HOK,SEK ,SEK,A,2,4,11,4G,960,
AB,HOK,SEK ,SEK,A,2,4,11,4H,960,
P,HOK,HOK ,SEK,A,2,4,11,5A,960,
AB,HOK,HOK ,SEK,A,2,4,11,5B,960,
P,SEK,HOK ,SEK,H,2,4,11,5C,960,
AB,SEK,HOK ,SEK,H,2,4,11,5D,960,
P,SEK,SEK ,SEK,H,2,4,11,5E,960,
AB,SEK,SEK ,SEK,H,2,4,11,5F,960,
P,HOK,SEK ,SEK,A,2,4,11,5G,960,
AB,HOK,SEK ,SEK,A,2,4,11,5H,960,
P,HOK,HOK ,HOK,H,2,4,11,6A,960,
AB,HOK,HOK ,HOK,H,2,4,11,6B,960,
P,SEK,HOK ,HOK,A,2,4,11,6C,960,
AB,SEK,HOK ,HOK,A,2,4,11,6D,960,
P,SEK,SEK ,HOK,A,2,4,11,6E,960,
AB,SEK,SEK ,HOK,A,2,4,11,6F,960,
P,HOK,SEK ,HOK,H,2,4,11,6G,960,
AB,HOK,SEK ,HOK,H,2,4,11,6H,960,
P,HOK,HOK ,HOK,H,2,3,11,7A,960,
AB,HOK,HOK ,HOK,H,2,3,11,7B,960,
P,SEK,HOK ,HOK,A,2,3,11,7C,960,
AB,SEK,HOK ,HOK,A,2,3,11,7D,960,
P,SEK,SEK ,HOK,A,2,3,11,7E,960,
AB,SEK,SEK ,HOK,A,2,3,11,7F,960,
P,HOK,SEK ,HOK,H,2,3,11,7G,960,
AB,HOK,SEK ,HOK,H,2,3,11,7H,960,
